Model,t0,input,R2,rmse1,rmse7,rmse30,Hyperparameter
SINDy,367,30,0.9937806692805932,0.28041516905311087,0.7642225242020596,0.5690997466370814,"[2825, 2134, 10, 838, 7772, 432, 5024, 3923]"
SINDy,1281,30,0.8764669414736648,2.528183033624773,2.9330683756755227,1.8485108528511165,"[4284, 1291, 336, 7438, 3787, 10917, 7053, 4130]"
SINDy,1099,30,0.9883424442942547,0.2815915673101422,0.3898856401633295,0.3983798224172014,"[6356, 10248, 128, 6787, 1244, 6379, 9491, 8207]"
SINDy,184,30,0.973587818722615,1.549410746694191,1.8594924921399756,1.8064065067074766,"[2402, 549, 141, 5497, 8653, 7803, 26, 3034]"
SINDy,1645,30,0.8515080776184812,2.2261463806700066,2.0690169008576826,14.717910817002405,"[1671, 2789, 900, 2473, 4357, 7526, 889, 4478]"
SINDy,550,30,0.952933339001361,0.48278252184737513,3.023994547314063,0.448121620326657,"[8903, 1841, 2911, 3128, 2205, 2821, 74, 7560]"
SINDy,1463,30,0.9761578015998342,0.13737849299537633,1.0193485907400335,1.6741723353722306,"[6462, 4708, 10210, 1689, 1365, 10809, 10084, 36]"
SINDy,916,30,0.8590798427745633,0.4039617059206735,1.1977171583642028,1.627480600959301,"[78, 288, 6290, 4867, 9665, 5962, 8169, 1467]"
SINDy,1,30,0.994826821416179,0.24720329487771078,0.5198795278699682,1.570128261493152,"[3950, 10787, 9318, 9807, 2700, 39, 8926, 1903]"
SINDy,733,30,0.9688107459642095,0.29773415641845663,0.8078133231992429,0.9788436252918943,"[3292, 10499, 5912, 5055, 6265, 151, 3556, 1099]"
SINDy,368,30,0.9937077294732083,0.6460425142270265,0.7997321131442174,0.7279531193751825,"[8435, 7431, 10696, 4973, 10543, 2804, 3447, 45]"
SINDy,185,30,0.9526110783627291,1.2135487720930407,1.0081084366013973,2.62841525256494,"[2064, 2700, 9584, 57, 5284, 1128, 6627, 9840]"
SINDy,1100,30,0.9873378697732959,0.2095337066776001,0.444057295777233,0.6819511280593562,"[987, 10433, 3459, 7165, 65, 5603, 9706, 11429]"
SINDy,1282,30,0.8767876649562633,2.1144488111463176,2.197704077058764,1.6501056578765376,"[3589, 1051, 399, 2203, 9432, 4680, 5369, 7370]"
SINDy,1646,30,0.8469450510269962,0.6707329445471234,1.2206882373942616,5.213373393884408,"[2009, 8450, 4695, 4962, 1136, 11424, 1289, 3806]"
SINDy,551,30,0.9345101313035711,0.49108281589488995,4.077180458156776,0.6195233159001416,"[347, 56, 6369, 10506, 5390, 292, 9335, 3980]"
SINDy,1464,30,0.9795652892622131,0.33035989989572295,1.1918487687911379,1.5049128713227486,"[9108, 160, 80, 2671, 10514, 1082, 989, 9189]"
SINDy,917,30,0.8826740265873091,0.3052103857220964,1.1185919433837517,1.1933389521260904,"[118, 1828, 2854, 8871, 8908, 10, 10918, 5842]"
SINDy,2,30,0.994271477720482,0.18117600724096836,0.5790510738420194,1.445031153546912,"[6712, 10967, 11078, 2532, 101, 4000, 7013, 10024]"
SINDy,734,30,0.9672818018615386,0.3575371128222974,0.7185585057940772,0.9177171664389272,"[8209, 8723, 10803, 5537, 691, 1463, 2394, 6829]"
SINDy,369,30,0.9936106022635327,0.6578133638833049,0.6251067618466487,0.9450790971198465,"[9250, 11202, 4340, 9906, 7126, 5749, 5395, 52]"
SINDy,1101,30,0.9890175722796493,0.26828022737599694,0.5153529506725788,0.707190559027897,"[11008, 5, 2024, 11016, 548, 2277, 3970, 967]"
SINDy,1283,30,0.8448975862482904,0.639602532526603,3.5753668455465104,3.973222290640687,"[11019, 1626, 8529, 337, 9957, 2502, 21, 7883]"
SINDy,1465,30,0.9808423247286306,0.6898429943280311,0.8507492213454219,1.211950974563674,"[124, 4483, 547, 897, 7405, 6707, 1326, 3099]"
SINDy,1647,30,0.8687493757069013,0.7889341414941112,2.7599215762195137,3.0155544273413546,"[7608, 3051, 3663, 2164, 8490, 4486, 6897, 6958]"
SINDy,552,30,0.9170807330085002,0.4810964922788578,4.021086077811454,1.2646039356046024,"[2902, 3480, 1131, 107, 10896, 2654, 2488, 9674]"
SINDy,918,30,0.9012048641254912,0.7625119704997947,0.6756542158896897,1.4918657920403657,"[3333, 6568, 102, 6323, 10012, 7085, 10033, 5914]"
SINDy,186,30,0.9781919703104512,0.8003479904424208,0.9859884443769066,3.8314325862714256,"[4219, 10572, 1580, 7725, 3811, 1, 8963, 6487]"
SINDy,3,30,0.9940696332467235,0.21529122165509565,0.41527241549317406,1.5899726917758075,"[8937, 1016, 3231, 3839, 42, 8688, 86, 1376]"
SINDy,735,30,0.9748328953451252,0.34107752880785097,0.6861034747119005,0.7476088658677373,"[3288, 7689, 710, 5204, 4664, 4562, 4212, 5934]"
SINDy,370,30,0.986497721626836,0.408006947150117,1.0812452457477097,1.2013921898266087,"[115, 2744, 10754, 6454, 8715, 6312, 4920, 11123]"
SINDy,1102,30,0.9862192882072227,0.20566871539185147,0.708220001938212,0.7191497547247289,"[9289, 59, 967, 9011, 1199, 10459, 3364, 3349]"
SINDy,1284,30,0.8184091480906652,0.44283267276431565,2.4243873904418356,3.717754994342936,"[6433, 112, 2618, 10615, 444, 2451, 8998, 2602]"
SINDy,1466,30,0.9901422419077729,0.41060522372304237,0.486839364327346,1.132908307247129,"[5014, 2257, 38, 8665, 1127, 5791, 2790, 3312]"
SINDy,1648,30,0.8530666960982544,0.7975944456553129,2.6108557587642056,2.683491630675544,"[2337, 4112, 320, 6238, 1278, 1230, 8561, 6705]"
SINDy,553,30,0.9178179338348463,0.790810654483333,3.586217035328058,4.835904659627695,"[2952, 1033, 2608, 7676, 10628, 2836, 16, 3441]"
SINDy,919,30,0.9179799273927254,1.6607253352456692,1.0470726403927408,2.2706518772593443,"[10917, 32, 68, 1374, 9072, 10180, 8087, 5079]"
SINDy,187,30,0.9768646692925399,0.4891084023476304,1.5526899084468468,5.298568927467028,"[9300, 10757, 96, 4216, 6568, 9544, 6651, 8591]"
SINDy,4,30,0.9928800566055129,0.19823564560145795,0.5244532241394056,1.2327579854935944,"[10944, 6212, 3096, 147, 933, 1554, 120, 4765]"
SINDy,736,30,0.9705038192635754,0.3316405109767263,0.5734808312689722,1.0965906381769994,"[2976, 6903, 4814, 6757, 3299, 6775, 6929, 391]"
SINDy,371,30,0.98583793439898,0.6955679083125751,0.8914608555943421,1.3616541084672305,"[300, 6280, 1420, 4135, 5829, 812, 3809, 6112]"
SINDy,1103,30,0.9887767143385107,0.16841311862298491,0.9009245771216453,0.8629816788939634,"[8533, 6847, 8508, 1008, 2815, 48, 8311, 10599]"
SINDy,1467,30,0.9918085018751203,0.3657741113853101,0.5767303247893976,1.2935286166271365,"[8757, 4429, 9622, 148, 87, 4201, 2349, 8951]"
SINDy,1285,30,0.8017601385775668,0.4644693059584712,1.285761903178444,3.9491649502377326,"[7218, 9201, 9911, 4894, 8237, 1294, 82, 2116]"
SINDy,554,30,0.9150273728791685,2.095705685374683,1.8100703388079762,2.797083742382094,"[10043, 7356, 11023, 84, 9804, 5641, 2934, 5959]"
SINDy,1649,30,0.8768346435726452,0.9569627954397921,1.7612352456156806,2.793109635574333,"[2308, 6935, 4502, 41, 8440, 6047, 71, 1364]"
SINDy,5,30,0.9917651399109071,0.23647959957304113,0.5322938539305403,1.415372196391339,"[10136, 1604, 7341, 7888, 5092, 5003, 97, 8634]"
SINDy,188,30,0.9727433605385972,1.8628773442962763,1.447939040427111,4.785718693346158,"[7601, 8263, 2741, 10350, 3865, 94, 3213, 5853]"
SINDy,920,30,0.9095325778795773,0.7437302177745566,2.3299834042518177,1.6654456937839697,"[6566, 1560, 1878, 2351, 1134, 102, 1234, 10111]"
SINDy,737,30,0.9675177394792424,0.4479044653583649,0.6213320026102868,0.8881182176507588,"[3857, 6099, 10761, 5767, 3704, 1218, 6402, 459]"
SINDy,1104,30,0.9902547937449258,0.2674973081583286,0.7507917209010574,0.8959924508803194,"[343, 6377, 3579, 10053, 3657, 16, 19, 8389]"
SINDy,372,30,0.9839531225638438,0.29589792253581276,0.5396218269006883,1.3489802200365204,"[5906, 9029, 3850, 8145, 11081, 10896, 8868, 6193]"
SINDy,6,30,0.9923494522453582,0.25391801837262123,0.5679745550782602,1.0792526165934857,"[2224, 1433, 4019, 8276, 9354, 1525, 41, 3284]"
