Model,t0,input,R2,rmse1,rmse7,rmse30,Hyperparameter
SINDy,1463,30,0.9954964303518263,0.13979502213744105,0.9865742734863903,1.4259505370773193,"[3704, 7623, 3859, 1805, 10779, 9, 4948, 6898, 1269, 777, 3762, 90, 353, 7238, 10117, 5815]"
SINDy,1281,30,0.968839732349525,2.52122897386786,2.9141462802603426,2.358734352606478,"[1889, 9177, 6659, 11430, 376, 2952, 727, 8272, 6249, 10099, 5397, 8573, 11178, 5665, 3915, 6187]"
SINDy,916,30,0.9572353050415495,0.40754903574160445,0.9961450746931855,1.9261332854051296,"[8370, 4204, 7075, 7905, 3633, 41, 2487, 1957, 364, 8421, 2671, 1311, 4205, 8409, 9671, 6338]"
SINDy,367,30,0.9988737443784916,0.27999840941357396,0.7576748832320811,0.5551648606781006,"[5169, 11029, 3370, 2595, 7518, 7068, 8739, 11182, 11040, 3905, 2317, 1434, 4858, 100, 6344, 8565]"
SINDy,1645,30,0.9655734128155423,2.1972598065665934,1.753361948536974,6.254635101793036,"[5384, 4118, 1297, 1688, 9741, 114, 2534, 3440, 920, 10568, 4397, 1121, 2945, 3425, 1466, 2079]"
SINDy,184,30,0.993867179625023,1.5486557450171785,1.857079041900144,1.7949196792958266,"[5219, 10049, 4951, 5570, 9815, 2278, 7418, 4469, 10653, 23, 3640, 1681, 10038, 10683, 133, 1583]"
SINDy,550,30,0.9865651069267656,0.48167456935746494,3.0241205904128377,0.47276266460399446,"[11129, 1396, 7430, 5551, 3388, 9627, 10191, 2192, 28, 5703, 9246, 9735, 1214, 7193, 3219, 8975]"
SINDy,1,30,0.9986368701269833,0.24600766379009703,0.5216715774918294,1.6319690464047072,"[4996, 3713, 1641, 11321, 109, 8786, 10631, 5206, 7055, 8157, 6200, 9509, 11147, 8681, 3209, 9638]"
SINDy,1099,30,0.997396359325794,0.28256685154747835,0.3863826185262675,0.3692527648303685,"[389, 87, 603, 726, 8775, 4393, 10979, 10707, 10487, 4722, 6009, 512, 8166, 2176, 1196, 11359]"
SINDy,733,30,0.9923914303625824,0.29758017739001535,0.7988712957594613,0.9779153167546427,"[6150, 1336, 1250, 8963, 7850, 5648, 2297, 7931, 2878, 1476, 1075, 10753, 2767, 1422, 7058, 2697]"
SINDy,1464,30,0.9941549473555098,0.32982180863810423,1.1915933588686716,1.4667985957167977,"[1485, 6622, 2205, 2256, 1367, 5155, 301, 3650, 5794, 3988, 1508, 1857, 8560, 243, 3143, 2710]"
SINDy,1282,30,0.9795119104482627,2.1324302293673076,2.1167354276524146,1.5678577601535137,"[2808, 234, 5034, 39, 345, 413, 4967, 3482, 8791, 4867, 4246, 2233, 4981, 8258, 952, 2087]"
