Model,t0,input,R2,rmse1,rmse7,rmse30,Hyperparameter
SINDy,1645,30,0.8988085013762951,2.197848746610622,1.7405138385149235,5.613278299002368,е٪঄ଠᑑ᜕ᦛ⊪⍯␣
SINDy,916,30,0.8672771180164844,0.4038835930917786,1.158236964661248,2.2319947802689457,9ځۆඨྡᕧᘹញេℐ
SINDy,1463,30,0.982055141699424,0.13940192159157525,0.9993666303049978,1.5623891652387225,Qѫ՛־छిႁᄙᅂᒻ
SINDy,184,30,0.9759665536353355,1.5509613947331098,1.856365238522215,1.7238728678769206,yǈ֐଱ౡᇞᐶᠧḟ⦬
SINDy,1281,30,0.8768601723771217,2.520668288262205,2.8680475451342997,1.3868542763969078,ʞਮᚽᡨᰜᲛᾜ⍡⏞⤾
SINDy,1,30,0.9952562874526812,0.24722025354032345,0.5239412232775967,1.585330070420305,डਂ஧ల๵ჱᛱ✘⬀
SINDy,1099,30,0.9862511016157895,0.282697391817267,0.3878838640790645,0.4007015352688576,`̻ਔอ࿞ᯖᾕ☋☢ⲕ
SINDy,733,30,0.9736287223938944,0.2980133742845836,0.7987419739344317,0.9844598098729401,զၭა዇ᛟ᪆ᬐ⇎♜⡚
SINDy,367,30,0.9939029137303533,0.2806056353391278,0.7653913679966355,0.5502448058586764,ќցဢጋᓕ᧨Ḹ‭⬳
SINDy,550,30,0.9394151298503559,0.48183266458527824,3.0237902127109426,0.43419858485814705,9YČȴ຃ᅝោᲰ⁭⪏
SINDy,1646,30,0.8649451377524817,0.6647411352336046,1.1758155505785846,2.753983738092659,௽ကၠ፮ᒋᙼ᧌ᬱ⁯↔
SINDy,917,30,0.9077313359865451,0.31066827252958773,1.209624687820878,1.7342524323017796,",άད᠗ᡨ᥷ἳ∩⑜ⱜ"
SINDy,1464,30,0.9821273528681069,0.33203385228237475,1.2142772069851753,1.584527285843952,৹ଣ஋ဪჀᚷᩫ✹⮿⯭
SINDy,1282,30,0.9273368939994504,2.122967513562158,2.1761553330602337,2.5718283201068783,̯ќӨԊՔ१Ⴎ‷✑⦨
SINDy,185,30,0.9854099475877046,1.2152915500234192,1.0162337162042805,2.515888523953807,?êםঢ়າᅐ᢯ᧃᴉ₟
SINDy,1100,30,0.9895757534951146,0.2095729265794465,0.4524697197588048,0.6009206845454202,	˛ஙᨋṰ ⋽▦⚴✆
SINDy,734,30,0.9719498820919833,0.35812563604711783,0.7329700306417105,0.9217571771091173,૷์፛ᗠᢀᩙᮇ᱀Ỡℜ
SINDy,368,30,0.9960092741788614,0.6445604385637203,0.7891763406055405,0.7654372268522597,}ɳϷٛફ඄ᇫ፞៯⑐
SINDy,2,30,0.9939291270990364,0.18100226681040607,0.5764531942219258,1.3808054559927094,?ந௽ഥᢪ᪸ᱭ⎗│⯿
SINDy,551,30,0.9440509820064326,0.4871092579304238,4.0502253720079855,0.7721293046046044,!đѢذᨚᴺẄẻἌⲐ
SINDy,1647,30,0.8709778376716936,0.7922964826582023,2.704246742523537,2.563905781864948,ȝ˰̐Ԟဈᔛᦱ᧌ᬳⲙ
SINDy,918,30,0.9133845306888396,0.7691071168124054,0.6716437970985742,1.7646128973335566,ҵྃྈ࿵ျፈ⃰ⅈ⓾
SINDy,186,30,0.98215856712819,0.8003684896475874,0.9906432255326766,3.8755336646088567,౗ໄၿᚆᮋ↝♰⫆⫹
SINDy,1465,30,0.9838885621020257,0.6915675988147836,0.8726798313985766,1.3744976336567603,eÿǆǰʲҨိᧉᾘ≌
SINDy,1101,30,0.9904375090618829,0.26821245309864294,0.5193237302334247,0.7309988505964279,ܦིႂᮠᲈᲬ◍⭀
SINDy,1283,30,0.8720221187534453,0.6402453089946731,3.548802233132998,2.376058535871875,ƀۡपଉხ⍤␋⣝⦶⯌
SINDy,735,30,0.9781304469241591,0.340124070858846,0.6727143977559689,0.7833838657834568,êցஸຈᙥᝇᬈℴ▙☳
SINDy,3,30,0.9941434816485111,0.2140271908743485,0.4010034292566134,1.5313098048425327,vװ࣠ॕৗஙᏯḃ╱⯿
SINDy,552,30,0.9352758728200555,0.4821554606671208,4.01309424860288,1.292548486038892,UlɱͅЯ଄ᄇ⬍⮟ⱳ
SINDy,369,30,0.9927404076026547,0.6566133013948036,0.6288129911628443,0.957404931713803,Uؙ཯ᜮ៊ᲺᳺⒷ⓬⭅
SINDy,1648,30,0.8911336357336015,0.7994552326073864,2.6141535912369447,3.8507293299560614,<ಯഗ൸ආᶏẛ⌡⚯⧗
SINDy,919,30,0.9156453026898834,1.6761884533840155,1.0756078586070041,1.7916302059300535,!˨ݷర༟ᐈ᠌⍇Ⓘ⠮
SINDy,187,30,0.9841851823817945,0.48962616871306414,1.557298570592046,5.3079303419817965,"
.؄ڶ೪༓ᆣᇡ᱓☦"
SINDy,1102,30,0.988061675626201,0.20523547127040395,0.7135468785232051,0.7267397024558967,kφٛٶ௧ᘡ⊛⋝➞⭠
SINDy,1466,30,0.9927614365606455,0.41135421073357875,0.49353877232626553,1.1677234753467065,ѣ؛ᖼᥠᩔ∘⎶⏄Ⓤ
SINDy,1284,30,0.8351279783722739,0.43957259598599574,2.3531006683026447,3.0141999305970604,~̒Էᆟኣᴦ`῱✢Ⲍ
SINDy,736,30,0.9815619739633148,0.3290459859716281,0.5817533911195172,0.9172074426146404,ࢬࢰ࿓ဘᝨᦡῠ⡣⮣
