lon,lat,EOF1,EOF2,EOF3,EOF4,EOF5
129.52,36.32,-0.09934936457732726,0.10751141095495848,-0.08996387978197205,-0.07216020176661501,0.15055961767411244
129.6,36.32,-0.08937963853106626,0.08127041841325967,-0.010585781452324925,-0.033081103762078026,0.21881968766657386
129.68,36.32,-0.09306237081647833,0.05718504148367661,0.07841752182668521,-0.04588490531257705,0.20352860775638948
129.76,36.32,-0.09376473261167613,0.01721173494753056,0.11052297164049123,-0.10472290731104128,0.1222705663464731
129.84,36.32,-0.09236048097177119,-0.020662685822031616,0.09757980837731353,-0.1637139584312514,0.02663962025881826
129.92,36.32,-0.08965942349138198,-0.05436462762855993,0.06449904895351359,-0.191416180131833,-0.04624295509427334
130.0,36.32,-0.08514352458064477,-0.08083733150296916,0.019317495926095312,-0.18376376698255315,-0.07250889502667499
130.08,36.32,-0.08042773717459283,-0.09700380086585472,-0.03588597961149224,-0.15671848465313512,-0.060775256889933627
130.16,36.32,-0.07620627803176411,-0.1047666230861773,-0.08200346670349054,-0.11807593137984354,-0.023158532358105013
130.24,36.32,-0.07203230514980818,-0.11019136944702476,-0.1030015948796901,-0.07721610200947591,0.026946822768321336
129.52,36.36,-0.10202462738758299,0.11841412306153347,-0.09607931796285105,-0.073148415118014,0.1194694605676208
129.6,36.36,-0.09246625267940053,0.08732717987080998,-0.008712523241878463,-0.033531065006028926,0.20857213627056942
129.68,36.36,-0.09392216666165461,0.060543805689216766,0.08594665680778764,-0.03238109081314148,0.20632821397106432
129.76,36.36,-0.09480797594790927,0.02141393569574123,0.12251292455171432,-0.08880247646136127,0.12833398617891714
129.84,36.36,-0.09357283643865393,-0.016871210957754235,0.1100627088681193,-0.15151692001441697,0.029103841210652206
129.92,36.36,-0.09133521076260462,-0.05337888607028074,0.07291882445706784,-0.18562945028766012,-0.05183306114796736
130.0,36.36,-0.0867159536632822,-0.08100952634182025,0.023104847538012833,-0.17853658508059556,-0.07824712403393602
130.08,36.36,-0.08176521738234843,-0.09860858199197944,-0.035815172721775486,-0.1495917431639011,-0.06260720469459077
130.16,36.36,-0.077321479354223,-0.10915699055047433,-0.08329827469456326,-0.11068892745393158,-0.0165655543615252
130.24,36.36,-0.07309116077655982,-0.11456130905186056,-0.10358542091780078,-0.06826579528333254,0.03591352061844199
129.52,36.4,-0.1048222264637863,0.1322080692738754,-0.10840848635577977,-0.07459528887552826,0.08043757253589849
129.6,36.4,-0.09532560299378352,0.09552905052747929,-0.009582000981939964,-0.03237986853485289,0.19181084181564492
129.68,36.4,-0.09459983732699237,0.06404551340443058,0.0925013037177445,-0.01815134457191895,0.20245868128036598
129.76,36.4,-0.09578816742506206,0.02544357553469436,0.13345020717579242,-0.07164467802074408,0.12851707022277017
129.84,36.4,-0.09481488121643042,-0.013068237322966492,0.12209314968577162,-0.13670903940735246,0.028854837725093035
129.92,36.4,-0.09293091389862836,-0.051815818948279926,0.08108892969035465,-0.17573236551812055,-0.056764256417672486
130.0,36.4,-0.08825971925347097,-0.08050399611940363,0.02698531788401746,-0.1695521886430788,-0.08198108973386033
130.08,36.4,-0.08312385781649499,-0.0999527697350208,-0.03556337078236671,-0.1395025666829287,-0.06175068402551547
130.16,36.4,-0.07841060960759902,-0.11358267071273341,-0.08401077385999141,-0.10128245571341526,-0.007603142680839491
130.24,36.4,-0.07399822332419587,-0.11883538309445384,-0.10412785431538099,-0.05750403925726984,0.045298188990468516
129.52,36.44,-0.10856705928572169,0.14783510029922187,-0.1274710810034733,-0.07456233537759818,0.04896077507614254
129.6,36.44,-0.09693708199456076,0.10225964554587932,-0.012228846736816427,-0.023117176110963703,0.1663785725607717
129.68,36.44,-0.09474429272968198,0.06710062888074472,0.09745140605777443,-0.001845497355412288,0.18593145088399823
129.76,36.44,-0.09601282710467823,0.02827246761555821,0.1426618279652716,-0.05175042945777347,0.11782167098006807
129.84,36.44,-0.09584947452969565,-0.010452323595247039,0.13232318096651452,-0.11503505164104484,0.019690926882408415
129.92,36.44,-0.09412044323191768,-0.04948814651211837,0.08805964437051993,-0.1549333309161864,-0.06376659502012791
130.0,36.44,-0.08954466862128281,-0.07971918350283806,0.030182810436095487,-0.15175959763739538,-0.0848077955616367
130.08,36.44,-0.0843717554573307,-0.10151066138768935,-0.03537691819606183,-0.12327913666770847,-0.05709304006644686
130.16,36.44,-0.07944133704765845,-0.11680750783539763,-0.08349156429491857,-0.08437012669167247,0.003981357027218178
130.24,36.44,-0.0746269969150779,-0.12194472041666632,-0.10469832675923119,-0.04154874105088398,0.05335327832404123
129.52,36.48,-0.1103274758606969,0.15562419931680282,-0.14041308460802787,-0.07185043192671206,0.021747553962632487
129.6,36.48,-0.09801614014008489,0.10636100556939487,-0.014991386170427227,-0.014441675037751692,0.14002096441643996
129.68,36.48,-0.09482109211520534,0.06922401920275204,0.09914215197869636,0.01233065700355999,0.1662305708556087
129.76,36.48,-0.09621114831613825,0.030979915082663387,0.14933518022098302,-0.029460758614476744,0.10322915968915447
129.84,36.48,-0.0966702770630977,-0.00847016170464487,0.13908671098528816,-0.08988587178106353,0.006437972174320256
129.92,36.48,-0.09520081374483771,-0.04766434107086668,0.09295352265024912,-0.12893329353040062,-0.07392466655729658
130.0,36.48,-0.09056047030691192,-0.07916512633467095,0.03142553134476231,-0.12730362983982563,-0.08761844814689106
130.08,36.48,-0.08534680515882974,-0.1027348129065498,-0.035981932588843024,-0.10075507444854505,-0.05083959027154047
130.16,36.48,-0.08013703807633704,-0.11884375049452074,-0.0832812207687127,-0.0637060087677853,0.0153720642508013
130.24,36.48,-0.0750889858396048,-0.12392709887221845,-0.10468011208500715,-0.023110679122935154,0.0630521498360754
129.52,36.52,-0.11057729906595896,0.1574500698327463,-0.14868793075934514,-0.06709783722698032,-0.0021952373610128087
129.6,36.52,-0.09868891454880568,0.10846476032939092,-0.017842452633661333,-0.0062190042421205695,0.11299147421893606
129.68,36.52,-0.09484581742392147,0.07063486063332651,0.09834761403084818,0.024870934331941694,0.14413926816479458
129.76,36.52,-0.09639017377358361,0.033588922950363725,0.15407234475734338,-0.005371401110645725,0.08568450332435414
129.84,36.52,-0.09732695688102347,-0.006970019317372662,0.1432022476606317,-0.06211784726948881,-0.009915996848394467
129.92,36.52,-0.09619665510022077,-0.04622647347138924,0.09626609007149434,-0.09900855370991654,-0.0864720965842377
130.0,36.52,-0.09136997320895572,-0.07878189836427484,0.031178353319891015,-0.09781081246113704,-0.09042103612598705
130.08,36.52,-0.08611272216438771,-0.10370500689804792,-0.0371833852190178,-0.07345979806220933,-0.04338693040322101
130.16,36.52,-0.08057726832730398,-0.11997490601387702,-0.08330672233842663,-0.0402077613857718,0.026603103287512947
130.24,36.52,-0.07542340312216997,-0.12504843792315543,-0.10421384494281975,-0.002800635342215313,0.07399007447142691
129.52,36.56,-0.11047762362291795,0.16058716409984136,-0.15637291040530563,-0.061134111235192676,-0.02459821357736813
129.6,36.56,-0.09884754249668189,0.11057693975593684,-0.02459081386908779,0.002613071587533573,0.08105271315422845
129.68,36.56,-0.0949369711402354,0.07172167640813792,0.09245840093937283,0.036777127517262406,0.1162944859663879
129.76,36.56,-0.09654585510523507,0.03580138488086233,0.15046882394069952,0.018867397863985592,0.06304368312183292
129.84,36.56,-0.0977849978013306,-0.00472819901399124,0.14009753172524067,-0.029259947019076187,-0.03052592461152651
129.92,36.56,-0.09663193884061982,-0.04392871240108792,0.09337592744730917,-0.06035901713095941,-0.09833568204782885
130.0,36.56,-0.09174873417470493,-0.07710259000268896,0.027906721422808936,-0.05851618600532987,-0.09165711563615923
130.08,36.56,-0.08635634715303296,-0.10302557736631415,-0.03869183699740266,-0.03862859771867297,-0.03531560153044508
130.16,36.56,-0.08057809933071178,-0.11961555780556324,-0.08295900316583694,-0.009919700015286626,0.037416344450416854
130.24,36.56,-0.0755846981277803,-0.12378830417970269,-0.10141780462080449,0.02083081995010796,0.08511008628793201
129.52,36.6,-0.11024361954010431,0.1633823474870703,-0.16386097871981908,-0.055188766860590335,-0.047495383848029475
129.6,36.6,-0.09894249529137128,0.11306591803858665,-0.032371612573089396,0.01274499161508981,0.048344194802099776
129.68,36.6,-0.09491116013676698,0.07329585657769673,0.08559975382344817,0.04966840884086728,0.08572798972277583
129.76,36.6,-0.09658831460875332,0.03790419884604252,0.14491273933837082,0.04238422197534574,0.03886141637177129
129.84,36.6,-0.098053967885136,-0.0022577693462118016,0.13488227344385176,0.0045127276756029636,-0.05055966247608648
129.92,36.6,-0.09676961940617167,-0.0415326850209062,0.08862310058284821,-0.021228122826175273,-0.10823106647489344
130.0,36.6,-0.09190396674763934,-0.07486050008357488,0.02386014912350502,-0.01880297705189288,-0.09110844426759154
130.08,36.6,-0.08632105208936765,-0.10173246151474556,-0.04066437999873159,-0.0036054490578509746,-0.025932522531229237
