time,PC1,PC2,PC3,PC4,PC5
2019-01-01,-8.33120306005855,-0.21850489596685302,0.9424302197755238,1.095708969569381,-0.563013196118057
2019-01-02,-8.90146881951897,-1.269734961592722,1.21959785290617,-0.35701543291936805,0.014294282624579827
2019-01-03,-9.322647977701395,-1.86599096764859,1.973261956523123,-1.4812511041886207,0.740592415436376
2019-01-04,-8.465971868913845,-2.398263231546262,1.9731824767540649,-0.3747666967107976,-0.08760679208185604
2019-01-05,-8.71351320754171,-2.301043363805539,2.636171023475534,-0.10161244506534925,0.9247287929498517
2019-01-06,-8.643577951128732,-0.21835517793992443,2.8204778405884614,0.10808244987665468,1.512437683845291
2019-01-07,-8.319628665495665,0.9033826397481072,2.593173251503191,0.7627036486327062,0.920062299582623
2019-01-08,-6.257671893688572,-0.8191104589057534,1.8217177534448556,0.6096612824250798,1.05894210542143
2019-01-09,-5.693910799281304,-3.798447024628181,1.2779541041539633,-0.0466974956381942,1.741894949632316
2019-01-10,-5.780042047356982,-4.677096225412564,1.048071216286334,0.14246701057154337,1.828842854323272
2019-01-11,-7.614575189618179,-3.3479757556545096,0.8867767813346136,0.34408098890676725,2.427913506572525
2019-01-12,-9.284855126415806,-3.3883597865624933,0.6979905376163982,0.13446767849287244,2.721811109761902
2019-01-13,-13.164318856342293,-3.2366252821023376,0.36300606141897374,0.06014112970866149,1.7881294231340783
2019-01-14,-12.869789821231832,-2.251336682345985,0.19659871721180172,0.4073617385738983,0.9896727050225913
2019-01-15,-11.260819994762036,-1.878083554942687,0.6244264281383772,0.9457634318660324,1.2700985618223537
2019-01-16,-12.369377987252005,-2.4947587378657237,0.948383574885212,1.2205497102740912,1.608889219602133
2019-01-17,-12.894008642218868,-3.451774185434986,1.153002327729096,1.1276236802458062,1.4816768613674418
2019-01-18,-14.194143238399079,-3.3360198085768182,1.3739827068447519,0.563298343564694,1.4399820103631564
2019-01-19,-14.223770551678692,-2.2847040994869228,1.3448897490365046,0.9723446639646084,1.2485720982657025
2019-01-20,-12.90397958810495,-1.6627595265692605,1.2831783523675968,1.4332097662133456,0.5645221610766256
2019-01-21,-12.59762179282931,-1.8176234256127317,1.071221973783934,0.976815674634613,0.4125073576222148
2019-01-22,-11.255589710044305,-2.6394704989567797,1.5726645988474544,-0.4535361518678548,0.47581022918548355
2019-01-23,-7.929647470878023,-3.0191810457791477,2.660897699582762,-0.6742735838799144,0.10704286510451345
2019-01-24,-9.003230059017314,-3.243941439396426,2.1850268741271455,0.13640320854745652,-0.598990500231252
2019-01-25,-7.9533983608987215,-5.494044136449481,0.8152040946053993,0.3637320931359524,-0.37567366504247823
2019-01-26,-5.2635603497642665,-4.046041325305205,0.37219409060534797,0.6089143528588803,0.897955425103662
2019-01-27,-2.26928184570955,-2.668881048928922,-0.11671363946768738,0.5935011357058969,0.7310165176781476
2019-01-28,-2.550936078684034,-2.49942173593006,-0.4642483987546511,0.1299108714238765,1.0685631298706142
2019-01-29,-4.735792057790182,-2.74094097778183,-0.2789692969109437,-0.5738318394057376,2.0051287097325337
2019-01-30,-6.625123538028748,-3.8909620234527287,0.5126905523160146,-0.024407700759839987,2.0069879655281553
2019-01-31,-8.081703281913864,-3.675234876404494,0.41863309883631106,0.6932568705322498,2.179442077750419
2019-02-01,-7.970960136609969,-2.2793153256308716,0.8189082713749541,0.28054898986086535,2.234452826003744
2019-02-02,-6.123370522871415,0.23629378666685225,1.7542367612864906,0.3331370996585077,1.465406091432605
2019-02-03,-4.0298488717777685,2.061539359569782,2.233051468240742,1.0578728837707696,0.03631126909175029
2019-02-04,-5.486346777010488,1.7120609960718376,1.3176003540701597,1.3840041787825033,-0.011700370873420655
2019-02-05,-6.2415985308153985,1.646746104940842,0.6358034974292398,1.3831035071762308,-0.21366832441065525
2019-02-06,-5.302755228293405,2.803191537944254,0.18595439675204864,1.1489893201806989,0.15530341860100716
2019-02-07,-3.389868416548068,3.53200147491474,0.08549984330317584,0.2294100034531657,0.8221775818892558
2019-02-08,-4.227542535260865,3.0500224131927562,-0.6844624363732952,0.18714695240038884,0.8331500432680363
2019-02-09,-7.074195666668986,1.9049938159351596,-0.8682085550258208,1.0298044897497716,1.0345060864670836
2019-02-10,-6.383038574035575,1.7391435806904258,-0.10436160725702291,1.0421625135770622,1.3307795596570349
2019-02-11,-2.880834266556319,1.917301815553489,1.530130107431337,0.3208417976210511,1.305811744750001
2019-02-12,-2.5108597094382583,1.9279384395163188,3.333120363357342,0.04434479858530802,0.24956690320828417
2019-02-13,-2.4136400147675827,0.8004094054800621,4.005502880760359,0.8098969595065655,-1.8372207252678967
2019-02-14,-2.660600646688899,0.7688365509953466,2.625304370465566,1.8688930842101017,-1.9927744928901638
2019-02-15,-3.5825342534544387,0.6219269482928698,2.254989318774031,1.1728244733108264,-0.9967323228919229
2019-02-16,-6.024685132686126,2.297609097157624,3.1101522838049918,0.19997516171463406,-0.09052888215721314
2019-02-17,-9.838202194923072,4.071227213484076,4.029181025484719,0.127908420418893,-1.7177857222234274
2019-02-18,-9.31909581083819,4.4073987647356585,3.0891200756487147,1.0628847717262535,-2.5423276182983834
